group	value	gene_id
Targets	0.208066879	ENSG00000139718
Targets	-0.017528339	ENSG00000119707
Targets	-0.044091805	ENSG00000074755
Targets	-0.093597337	ENSG00000157107
Targets	-0.147887037	ENSG00000176597
Targets	0.049867059	ENSG00000105971
Targets	-0.035585308	ENSG00000106078
Targets	-0.006663294	ENSG00000011007
Targets	-0.200039295	ENSG00000155304
Targets	0.305813873	ENSG00000071564
Targets	-0.120179274	ENSG00000163347
Targets	-0.009697646	ENSG00000065809
Targets	0.044236603	ENSG00000069020
Targets	-0.322937069	ENSG00000122574
Targets	0.30176484	ENSG00000165915
Targets	0.000413562	ENSG00000121281
Targets	-0.121301733	ENSG00000130224
Targets	-1.237641405	ENSG00000005020
Targets	-0.153092326	ENSG00000181744
Targets	0.068671509	ENSG00000106299
Targets	0.178765332	ENSG00000069424
Targets	-0.116048739	ENSG00000183723
Targets	-0.064989346	ENSG00000042429
Targets	0.237353787	ENSG00000142599
Targets	-0.076825769	ENSG00000132294
Targets	0.050084249	ENSG00000158805
Targets	0.023689135	ENSG00000141644
Targets	0.097821241	ENSG00000143641
Targets	0.119024116	ENSG00000005339
Targets	-0.098679265	ENSG00000118200
Targets	0.139684081	ENSG00000176490
Targets	0.055755571	ENSG00000182771
Targets	-0.185612392	ENSG00000178538
Targets	0.085552505	ENSG00000185551
Targets	-0.106540995	ENSG00000005893
Targets	0.072435716	ENSG00000197122
Targets	-0.038622078	ENSG00000143093
Targets	-0.037954456	ENSG00000166086
Targets	0.064091426	ENSG00000110881
Targets	0.088546985	ENSG00000011275
Targets	0.039422214	ENSG00000116675
Targets	0.023703054	ENSG00000086062
Targets	0.006464517	ENSG00000183864
Targets	-0.046600666	ENSG00000198363
Targets	-0.067712278	ENSG00000143384
Targets	0.315244018	ENSG00000088256
Targets	-0.023919431	ENSG00000140391
Targets	-0.086155613	ENSG00000102158
Targets	-0.030862116	ENSG00000166734
Targets	0.063200689	ENSG00000072786
Targets	0.110075734	ENSG00000183495
Targets	0.03693167	ENSG00000184602
Targets	-0.136002925	ENSG00000084444
Targets	-0.066132838	ENSG00000132824
Targets	-0.060616431	ENSG00000140941
