"ID"	"adj.P.Val"	"P.Value"	"logFC"	"Gene.symbol"
"33292"	"0.293"	"0.0069154"	"1.00505284"	"CAMK1G"
"40210"	"0.293"	"0.0070876"	"1.3458835"	""
"9680"	"0.293"	"0.0071019"	"-0.79022253"	""
"31961"	"0.293"	"0.007103"	"-1.85013185"	"SLC38A4"
"27040"	"0.293"	"0.0071087"	"-1.07291406"	"SPTA1"
"16711"	"0.293"	"0.0072577"	"0.70575446"	""
"8119"	"0.293"	"0.0073191"	"0.86880081"	"CEACAM1"
"42577"	"0.293"	"0.0073378"	"0.90753435"	"CDKL2"
"22961"	"0.293"	"0.0073561"	"-0.4509057"	"ASPH"
"34249"	"0.293"	"0.0073962"	"1.03635298"	"AHDC1"
"42848"	"0.293"	"0.0074687"	"0.66666963"	""
"20196"	"0.293"	"0.0074867"	"1.18401016"	""
"44398"	"0.293"	"0.007542"	"-0.66194706"	"LINC00421"
"36028"	"0.293"	"0.0075831"	"-1.51187518"	"HIST1H4G"
"44593"	"0.293"	"0.0076342"	"-0.83448137"	""
"9484"	"0.293"	"0.0076425"	"-0.73337042"	"PPP1R32"
"34054"	"0.293"	"0.0076437"	"1.31353688"	"MAPRE3"
"33648"	"0.293"	"0.0076792"	"-1.78109438"	""
"1052"	"0.293"	"0.0078091"	"0.42865862"	"CAMK4"
"31026"	"0.293"	"0.0078116"	"3.1871439"	"SYNRG"
"21869"	"0.293"	"0.0078653"	"0.87629624"	"NOS2"
"35901"	"0.293"	"0.0078817"	"-0.41370042"	"GPX3"
"8350"	"0.293"	"0.0079908"	"0.48633965"	"SSTR5"
"6689"	"0.293"	"0.0080375"	"0.61814817"	"FAM120A"
"32564"	"0.293"	"0.0081552"	"1.22739588"	"NRROS"
"7086"	"0.293"	"0.0082753"	"0.62779018"	"HOXB3"
"20623"	"0.293"	"0.0083071"	"-0.84495259"	""
"9187"	"0.293"	"0.0083635"	"0.43266224"	"SFTPB"
"11803"	"0.293"	"0.0083692"	"-0.89134976"	"FERMT1"
"24141"	"0.293"	"0.0083789"	"-1.98859787"	""
"30403"	"0.293"	"0.0083927"	"0.63639598"	"PER1"
"5830"	"0.293"	"0.0084349"	"-1.02499211"	"FLJ33534"
"30591"	"0.293"	"0.008478"	"-1.73724939"	""
"43825"	"0.293"	"0.008483"	"0.627831"	""
"10037"	"0.293"	"0.0084998"	"0.7596301"	""
"18699"	"0.293"	"0.0085309"	"0.68849491"	""
"40928"	"0.293"	"0.0086391"	"0.65630441"	""
"39573"	"0.293"	"0.0086395"	"0.50153203"	"XCL1"
"20687"	"0.293"	"0.0086539"	"-1.23482163"	"NME9"
"44913"	"0.293"	"0.0086604"	"0.48993131"	""
"40551"	"0.293"	"0.0087855"	"0.71461483"	""
"13351"	"0.293"	"0.0088764"	"0.59118924"	"SP140L"
"19538"	"0.293"	"0.0089288"	"-0.57463381"	""
"2558"	"0.293"	"0.0089621"	"1.09198506"	""
"37750"	"0.293"	"0.0090218"	"0.38149312"	"ZNF548"
"8204"	"0.293"	"0.0091243"	"0.85309076"	""
"17016"	"0.293"	"0.00915"	"-0.55267992"	"PIP4K2A"
"25340"	"0.293"	"0.0092109"	"2.3797053"	""
"7362"	"0.293"	"0.0092374"	"0.51986154"	"JAK3"
"1271"	"0.293"	"0.0092571"	"0.83009637"	"SMIM10L2A"
"38372"	"0.293"	"0.009548"	"0.93336727"	"FAM131B"
"1975"	"0.293"	"0.0095684"	"0.58406759"	"AHSG"
"3216"	"0.293"	"0.0095767"	"0.38943081"	"TRIO"
"41825"	"0.293"	"0.0095797"	"0.69669689"	"CAPN12"
"4691"	"0.293"	"0.0096153"	"1.46364305"	"CAMK2D"
"27514"	"0.293"	"0.0096184"	"-1.54401856"	"PHC2"
"21318"	"0.293"	"0.0096442"	"-0.76583408"	""
"5698"	"0.293"	"0.0097591"	"-0.56959727"	""
"13797"	"0.293"	"0.0097686"	"1.15516389"	"ATP4A"
"20263"	"0.293"	"0.0098675"	"-1.62786014"	"ABRA"
"21522"	"0.293"	"0.0098683"	"1.45001996"	""
"32983"	"0.293"	"0.009948"	"-0.54470609"	"SCGB2A1"
"5463"	"0.293"	"0.0099714"	"0.488356"	""
"26773"	"0.293"	"0.0099733"	"-1.47843147"	"LOC105376360"
"39750"	"0.293"	"0.010035"	"0.68699664"	"MELTF"
"20475"	"0.293"	"0.0100527"	"-1.18329553"	"LOC102723407///SKAP2"
"37577"	"0.293"	"0.0100556"	"0.53281548"	"ATXN1"
"15232"	"0.293"	"0.0100603"	"2.28517777"	"KRT17P5"
"17977"	"0.293"	"0.0101109"	"0.75699591"	""
"42050"	"0.293"	"0.0101176"	"0.82441609"	"LRP1"
"28105"	"0.293"	"0.010199"	"-0.5073158"	""
"33581"	"0.293"	"0.0102515"	"1.69929151"	"SMIM24"
"14897"	"0.293"	"0.0102842"	"0.39698649"	""
"7857"	"0.293"	"0.0103227"	"0.82002902"	"APLNR"
"28706"	"0.293"	"0.010343"	"1.04532159"	"C1orf131"
"30523"	"0.293"	"0.0103619"	"-0.58325516"	"LINC01013"
"11872"	"0.293"	"0.0103801"	"-0.80535595"	"TMEM156"
"10640"	"0.293"	"0.0104313"	"-0.90441091"	""
"9445"	"0.293"	"0.0105324"	"0.64776031"	"TAS2R10"
"40661"	"0.293"	"0.0105462"	"0.87811076"	"PADI2"
"20757"	"0.293"	"0.0106953"	"-1.85883291"	"INPP4B"
"38721"	"0.293"	"0.0107157"	"0.97118131"	"NPHS1"
"25848"	"0.293"	"0.0107293"	"-0.6013937"	"B3GAT1"
