"ID"	"adj.P.Val"	"P.Value"	"logFC"	"Gene_symbol"
"PH_hs_0022592"	"0.45597078"	"2.31e-01"	"-0.3817347"	"LRRC41"
"PH_hs_0008730"	"0.4559898"	"2.31e-01"	"-0.3017598"	"CHEK2"
"PH_hs_0026485"	"0.45602139"	"2.31e-01"	"-0.4491094"	"TMEM196"
"PH_hs_0043714"	"0.45602139"	"2.31e-01"	"0.47922"	"UGT2B10"
"PH_hs_0043247"	"0.45602139"	"2.31e-01"	"-0.3217003"	"ZNF839"
"PH_hs_0032586"	"0.45605362"	"2.31e-01"	"-0.6306329"	"DCDC2C"
"PH_hs_0025380"	"0.45605533"	"2.31e-01"	"-0.3006064"	"PCGF3"
"PH_hs_0001444"	"0.45611406"	"2.31e-01"	"-0.3137436"	"previous version conserved probe"
"PH_hs_0025991"	"0.45612829"	"2.31e-01"	"0.2526196"	"SFXN5"
"PH_hs_0021871"	"0.63703887"	"4.06e-01"	"3.6886719"	"EFHC1"
"PH_hs_0049562"	"0.45615642"	"2.31e-01"	"0.4422506"	"STYX"
"PH_hs_0002932"	"0.45617327"	"2.31e-01"	"-0.2461829"	"STATH"
"PH_hs_0045785"	"0.45621232"	"2.31e-01"	"-0.3157201"	"MUSK"
"PH_hs_0033613"	"0.45630158"	"2.31e-01"	"0.3216869"	""
"PH_hs_0062031"	"0.45650764"	"2.32e-01"	"-0.2483238"	"GCSH"
"PH_hs_0031661"	"0.45651383"	"2.32e-01"	"-0.2397959"	"LOC389895"
"PH_hs_0027503"	"0.45656941"	"2.32e-01"	"-0.3881103"	""
"PH_hs_0060760"	"0.45656941"	"2.32e-01"	"-0.2667033"	""
"PH_hs_0002389"	"0.4567709"	"2.32e-01"	"-0.2902635"	"PARD3B"
"PH_hs_0002386"	"0.45697153"	"2.32e-01"	"0.2203177"	"CTBP1-AS1"
"PH_hs_0028248"	"0.45706564"	"2.32e-01"	"-0.2178836"	"EVX1"
"PH_hs_0045632"	"0.45706564"	"2.32e-01"	"0.255572"	"MYO7A"
