"ID"	"adj.P.Val"	"P.Value"	"logFC"	"Gene_symbol"
"PH_hs_0022756"	"0.06422026"	"1.39e-02"	"0.9131914"	"PDHB"
"PH_hs_0025956"	"0.06422026"	"1.39e-02"	"0.5483359"	"PTPRC"
"PH_hs_0061493"	"0.06422026"	"1.39e-02"	"0.5636804"	"NOL10"
"PH_hs_0047956"	"0.06422026"	"1.39e-02"	"-1.1015557"	"NANOS1"
"PH_hs_0010756"	"0.06423383"	"1.39e-02"	"-0.9151903"	"BRSK1"
"PH_hs_0003592"	"0.06426255"	"1.39e-02"	"0.81061"	"B4GALT7"
"PH_hs_0031685"	"0.06426588"	"1.39e-02"	"0.7039116"	"LOC344887"
"PH_hs_0047370"	"0.06432679"	"1.39e-02"	"-0.6470866"	"BPNT1"
"PH_hs_0002981"	"0.06433889"	"1.39e-02"	"1.0493623"	"BRIX1"
"PH_hs_0000865"	"0.06445452"	"1.39e-02"	"-0.6218814"	"RNMT"
"PH_hs_0043366"	"0.06448708"	"1.39e-02"	"-0.6589005"	"ARSK"
"PH_hs_0000302"	"0.06448708"	"1.39e-02"	"-0.5153685"	"LCT"
"PH_hs_0014692"	"0.06449958"	"1.40e-02"	"-0.6473564"	"SLC52A3"
"PH_hs_0030934"	"0.06449958"	"1.40e-02"	"-0.5809616"	"TIMP2"
"PH_hs_0046391"	"0.06457661"	"1.40e-02"	"-0.6210249"	"previous version conserved probe"
"PH_hs_0062506"	"0.06457661"	"1.40e-02"	"-0.7191318"	"LOC101060425|LOC101060568|LOC644634|LOC100996721|LOC100996741|LOC388692|LOC729574|LOC101060384|LOC729587|LOC100133301"
"PH_hs_0028765"	"0.06457832"	"1.40e-02"	"-0.6805503"	"RNF111"
"PH_hs_0025895"	"0.06457832"	"1.40e-02"	"0.5680772"	"B3GALNT2"
"PH_hs_0029192"	"0.06457832"	"1.40e-02"	"-0.7809769"	"previous version conserved probe"
"PH_hs_0047782"	"0.06457832"	"1.40e-02"	"-0.657934"	"ZYG11B"
"PH_hs_0041141"	"0.0647645"	"1.40e-02"	"0.6624952"	"RAPH1"
"PH_hs_0015489"	"0.06481278"	"1.40e-02"	"-0.5867268"	"L3MBTL1"
"PH_hs_0029962"	"0.06482231"	"1.40e-02"	"0.5735267"	"CDKL1"
"PH_hs_0029816"	"0.06489892"	"1.41e-02"	"-0.542491"	"SUMF1"
"PH_hs_0009369"	"0.06496371"	"1.41e-02"	"-0.599376"	"CRADD"
"PH_hs_0049018"	"0.06497211"	"1.41e-02"	"-0.5164268"	"UBQLN2"
"PH_hs_0017973"	"0.06507309"	"1.41e-02"	"0.7032405"	"LGALSL"
"PH_hs_0023016"	"0.06510438"	"1.41e-02"	"0.7629258"	"THRB"
"PH_hs_0025923"	"0.06516344"	"1.41e-02"	"0.71363"	"CDC5L"
"PH_hs_0018810"	"0.06516627"	"1.41e-02"	"0.6701143"	"previous version conserved probe"
"PH_hs_0004184"	"0.06516627"	"1.41e-02"	"-0.747126"	"CDKN2B"
"PH_hs_0026211"	"0.06522593"	"1.41e-02"	"1.0167629"	"ANKRD1"
"PH_hs_0035062"	"0.06540057"	"1.42e-02"	"-0.6273741"	""
"PH_hs_0030054"	"0.06544229"	"1.42e-02"	"0.6573555"	"SF3B4"
"PH_hs_0029926"	"0.06544229"	"1.42e-02"	"-0.6777166"	"IFITM3"
"PH_hs_0016149"	"0.06549092"	"1.42e-02"	"-1.1244412"	"previous version conserved probe"
"PH_hs_0046102"	"0.06549878"	"1.42e-02"	"-1.0192739"	"PCDHGA7"
"PH_hs_0026028"	"0.06559761"	"1.42e-02"	"-0.5579281"	"GLB1"
"PH_hs_0043646"	"0.0656174"	"1.42e-02"	"-0.590977"	"RFPL3-AS1"
"PH_hs_0000015"	"0.06564936"	"1.43e-02"	"-0.5436401"	"HGFAC"
"PH_hs_0031555"	"0.06564936"	"1.43e-02"	"-0.8140438"	""
"PH_hs_0027330"	"0.06564936"	"1.43e-02"	"-0.6726631"	"ITGA3"
"PH_hs_0060583"	"0.06565311"	"1.43e-02"	"-0.5891418"	"ZC2HC1A"
"PH_hs_0025298"	"0.06565363"	"1.43e-02"	"-0.6628762"	"TF"
"PH_hs_0024674"	"0.06581387"	"1.43e-02"	"0.5589688"	"WDR26"
"PH_hs_0024131"	"0.06584524"	"1.43e-02"	"0.616995"	"AP2B1"
"PH_hs_0006318"	"0.06585621"	"1.43e-02"	"-0.7927195"	"ZNF213"
"PH_hs_0026633"	"0.06585621"	"1.43e-02"	"-1.0221082"	"RNF19B"
"PH_hs_0012606"	"0.06585951"	"1.43e-02"	"-0.6299695"	"NIPBL"
"PH_hs_0047929"	"0.06586534"	"1.43e-02"	"-0.7771943"	"KLHL29"
"PH_hs_0005046"	"0.06588436"	"1.43e-02"	"-0.5335983"	"ATP6V1G1"
"PH_hs_0009835"	"0.06588436"	"1.43e-02"	"-0.5269077"	"previous version conserved probe"
"PH_hs_0007241"	"0.06588436"	"1.43e-02"	"-0.8350935"	""
"PH_hs_0029248"	"0.06589922"	"1.43e-02"	"-0.5588928"	"UNC13B"
"PH_hs_0016119"	"0.06591207"	"1.43e-02"	"0.6511137"	"ASPHD1"
"PH_hs_0018571"	"0.06591207"	"1.43e-02"	"-0.7073619"	"PSMB9"
"PH_hs_0043281"	"0.06595167"	"1.44e-02"	"0.6484959"	"PDCD5"
"PH_hs_0032833"	"0.1231611"	"3.40e-02"	"-1.1792813"	"RABL2B|RABL2A"
"PH_hs_0048621"	"0.06601111"	"1.44e-02"	"0.7202437"	"CALM3"
"PH_hs_0060953"	"0.06605746"	"1.44e-02"	"-0.8517612"	""
"PH_hs_0048115"	"0.06618739"	"1.44e-02"	"-0.6314842"	"SHOX2"
"PH_hs_0044842"	"0.06619362"	"1.44e-02"	"-1.032606"	"TUBB1"
"PH_hs_0001961"	"0.06620614"	"1.44e-02"	"0.5377991"	"ARHGEF40"
"PH_hs_0048591"	"0.06621547"	"1.44e-02"	"-0.9483327"	"USP7"
"PH_hs_0049716"	"0.06621547"	"1.44e-02"	"-0.6164005"	"ZNF84"
"PH_hs_0031194"	"0.06627624"	"1.44e-02"	"-0.5611735"	"ZNF280B"
"PH_hs_0010039"	"0.06627624"	"1.44e-02"	"-0.7706415"	"FAT1"
"PH_hs_0021229"	"0.06630501"	"1.45e-02"	"0.7562849"	"previous version conserved probe"
"PH_hs_0000557"	"0.06636709"	"1.45e-02"	"-0.7795683"	"FAN1"
"PH_hs_0004331"	"0.06636709"	"1.45e-02"	"0.7172488"	"OAT"
"PH_hs_0028898"	"0.06636728"	"1.45e-02"	"-0.5720734"	"ZNF189"
"PH_hs_0061880"	"0.06641125"	"1.45e-02"	"0.5625575"	"NXPE3"
"PH_hs_0049170"	"0.06641412"	"1.45e-02"	"-0.5537953"	"MLLT6"
"PH_hs_0009897"	"0.06641522"	"1.45e-02"	"-0.5850187"	"NTNG2"
"PH_hs_0048193"	"0.06642672"	"1.45e-02"	"-0.7458983"	"KAT8"
"PH_hs_0044473"	"0.06642709"	"1.45e-02"	"0.5415137"	"LYRM4"
"PH_hs_0046491"	"0.0665695"	"1.45e-02"	"-0.866559"	"CASP5"
"PH_hs_0047324"	"0.06662253"	"1.45e-02"	"-0.6292463"	"PRKAA1"
"PH_hs_0061393"	"0.06662253"	"1.45e-02"	"0.5228403"	"NAGA"
"PH_hs_0032566"	"0.06670409"	"1.46e-02"	"0.687677"	"PALD1"
"PH_hs_0002575"	"0.06686216"	"1.46e-02"	"-0.5583885"	"ZUFSP"
"PH_hs_0045701"	"0.06699288"	"1.46e-02"	"-0.9366783"	"NKX2-5"
"PH_hs_0045869"	"0.06700014"	"1.46e-02"	"-0.8016257"	"ZNF138"
"PH_hs_0045625"	"0.06700416"	"1.46e-02"	"1.0378524"	"RCOR3"
"PH_hs_0024101"	"0.06700861"	"1.46e-02"	"0.685928"	"BTBD2"
"PH_hs_0008978"	"0.067024"	"1.46e-02"	"0.6820397"	"RHPN1"
"PH_hs_0019882"	"0.06709233"	"1.47e-02"	"0.6759643"	"NDUFS3"
"PH_hs_0014291"	"0.06709233"	"1.47e-02"	"0.8544019"	"ATG7"
"PH_hs_0044018"	"0.0671026"	"1.47e-02"	"-0.7982115"	"previous version conserved probe"
"PH_hs_0043588"	"0.0671026"	"1.47e-02"	"0.6606605"	"FRAT1"
"PH_hs_0024650"	"0.06711348"	"1.47e-02"	"-0.5594454"	"OGT"
"PH_hs_0046240"	"0.06720611"	"1.47e-02"	"-0.8281025"	"previous version conserved probe"
"PH_hs_0044967"	"0.06722255"	"1.47e-02"	"-0.5784287"	"previous version conserved probe"
"PH_hs_0001005"	"0.06722324"	"1.47e-02"	"-1.7026835"	"TAC3"
"PH_hs_0017137"	"0.06722324"	"1.47e-02"	"0.8537356"	"CALR"
"PH_hs_0035822"	"0.06723658"	"1.47e-02"	"0.7059831"	"C11orf30"
"PH_hs_0028462"	"0.06726665"	"1.47e-02"	"-0.7097184"	"MYH3"
"PH_hs_0031140"	"0.06730177"	"1.47e-02"	"0.5562048"	"TTC9C"
"PH_hs_0005130"	"0.06734559"	"1.47e-02"	"-0.7789326"	"PDE6C"
"PH_hs_0037237"	"0.06736782"	"1.48e-02"	"-0.6351045"	"CEP63"
"PH_hs_0046136"	"0.06737751"	"1.48e-02"	"0.5373299"	"ALS2"
"PH_hs_0001964"	"0.06737751"	"1.48e-02"	"-0.7147715"	"PIK3C2G"
"PH_hs_0025862"	"0.06737751"	"1.48e-02"	"-0.6256046"	"GLUL"
"PH_hs_0025724"	"0.06746119"	"1.48e-02"	"0.692284"	"SPIN1"
"PH_hs_0003160"	"0.06752068"	"1.48e-02"	"-0.6763421"	"AK3"
"PH_hs_0047756"	"0.06755767"	"1.48e-02"	"-0.5984158"	"BMP3"
"PH_hs_0009350"	"0.06762153"	"1.48e-02"	"-0.5763931"	"MUT"
"PH_hs_0031177"	"0.06762153"	"1.48e-02"	"0.5618163"	"C15orf59"
"PH_hs_0025273"	"0.06764752"	"1.48e-02"	"-0.9113467"	"TBCK"
"PH_hs_0042093"	"0.06767948"	"1.48e-02"	"-0.5859086"	"TMEM258"
"PH_hs_0025102"	"0.06769948"	"1.49e-02"	"-0.556119"	"AP1S1"
"PH_hs_0035372"	"0.06772315"	"1.49e-02"	"0.7957237"	"SSNA1"
"PH_hs_0005568"	"0.06776824"	"1.49e-02"	"0.5379387"	"MRRF"
"PH_hs_0011484"	"0.06778192"	"1.49e-02"	"0.5487087"	"PALLD"
"PH_hs_0048638"	"0.06793315"	"1.49e-02"	"-0.5548574"	"COL4A3BP"
"PH_hs_0060878"	"0.06795095"	"1.49e-02"	"-0.534138"	""
"PH_hs_0049592"	"0.06800904"	"1.49e-02"	"0.5182766"	"DDB1"
"PH_hs_0001949"	"0.06801181"	"1.49e-02"	"0.6106351"	"GTF3C4"
"PH_hs_0016302"	"0.06805262"	"1.49e-02"	"-0.6311438"	"TEX13B"
"PH_hs_0025804"	"0.06810268"	"1.50e-02"	"-0.5678402"	"previous version conserved probe"
"PH_hs_0033083"	"0.06810837"	"1.50e-02"	"-0.6219717"	"PSG2"
"PH_hs_0036435"	"0.06818272"	"1.50e-02"	"-0.6376046"	"previous version conserved probe"
"PH_hs_0045097"	"0.06818879"	"1.50e-02"	"0.7220963"	"WHSC1L1"
"PH_hs_0005949"	"0.06818879"	"1.50e-02"	"0.5761825"	"RBM17"
"PH_hs_0044645"	"0.06818879"	"1.50e-02"	"-0.5836312"	"previous version conserved probe"
"PH_hs_0022637"	"0.06818879"	"1.50e-02"	"-0.8257824"	"EIF1AX"
"PH_hs_0025483"	"0.06823839"	"1.50e-02"	"-1.2507658"	"LAPTM5"
"PH_hs_0048536"	"0.06824947"	"1.50e-02"	"-0.5212312"	"MAN1A2"
"PH_hs_0041140"	"0.06826754"	"1.50e-02"	"-0.8083759"	"LANCL2"
"PH_hs_0042647"	"0.06829943"	"1.50e-02"	"-0.7324051"	"RPL13AP3"
"PH_hs_0024406"	"0.06835722"	"1.50e-02"	"0.6218274"	"USP7"
"PH_hs_0011215"	"0.06839411"	"1.50e-02"	"0.666505"	""
"PH_hs_0024766"	"0.06852752"	"1.51e-02"	"-1.0303757"	"SPAG1"
"PH_hs_0007332"	"0.06853259"	"1.51e-02"	"-0.9695645"	"ZNF624"
"PH_hs_0020481"	"0.06858199"	"1.51e-02"	"-0.6147921"	"MAP2K5"
"PH_hs_0048698"	"0.06858611"	"1.51e-02"	"-0.7028999"	"SLC31A1"
"PH_hs_0015570"	"0.0686079"	"1.51e-02"	"0.6336991"	"RAB34"
"PH_hs_0019296"	"0.0686195"	"1.51e-02"	"0.6169369"	"PTRHD1"
"PH_hs_0034243"	"0.06865867"	"1.51e-02"	"0.6298928"	"RAET1E"
"PH_hs_0024658"	"0.0686707"	"1.51e-02"	"0.5428267"	"DHODH"
"PH_hs_0007194"	"0.0686707"	"1.51e-02"	"-0.7284198"	"VPS4B"
"PH_hs_0032314"	"0.06871866"	"1.51e-02"	"-0.6951962"	"previous version conserved probe"
"PH_hs_0032912"	"0.06879157"	"1.52e-02"	"-0.5601466"	"MAU2"
"PH_hs_0004977"	"0.06879949"	"1.52e-02"	"0.6227749"	"POU1F1"
"PH_hs_0047611"	"0.06880203"	"1.52e-02"	"0.5064543"	"DNM1L"
"PH_hs_0040961"	"0.0780588"	"1.80e-02"	"3.2376343"	"previous version conserved probe"
"PH_hs_0044608"	"0.06880203"	"1.52e-02"	"-0.6400005"	"ALDH4A1"
"PH_hs_0005067"	"0.0688438"	"1.52e-02"	"0.5599373"	"SEPT6"
"PH_hs_0000513"	"0.0688438"	"1.52e-02"	"0.5722527"	"SRGAP2"
"PH_hs_0001100"	"0.0688438"	"1.52e-02"	"-0.6771895"	"DHRS7B"
"PH_hs_0048795"	"0.06892863"	"1.52e-02"	"0.5173752"	"HAUS2"
"PH_hs_0031125"	"0.0691266"	"1.53e-02"	"-0.5336242"	"TMEM14C"
"PH_hs_0031880"	"0.0693463"	"1.53e-02"	"0.9982551"	"SLC9A7"
"PH_hs_0016489"	"0.06937562"	"1.53e-02"	"-0.792506"	"DTX3L"
"PH_hs_0003768"	"0.06937567"	"1.53e-02"	"0.5231454"	"PACS1"
"PH_hs_0013490"	"0.06940361"	"1.53e-02"	"-0.5525071"	"TNFRSF1B"
"PH_hs_0033892"	"0.06945365"	"1.53e-02"	"0.6020083"	"C2orf78"
"PH_hs_0009280"	"0.06948166"	"1.53e-02"	"-0.5790331"	"PTPRM"
"PH_hs_0047940"	"0.0695021"	"1.53e-02"	"-1.1404066"	"SYN2"
"PH_hs_0043528"	"0.06954064"	"1.54e-02"	"-0.7169109"	"MYH2"
"PH_hs_0049416"	"0.069562"	"1.54e-02"	"-0.5999934"	"CNNM3"
"PH_hs_0010644"	"0.06960047"	"1.54e-02"	"0.5665752"	"RHOC"
"PH_hs_0045068"	"0.06967797"	"1.54e-02"	"0.7629118"	"SPTBN1"
"PH_hs_0048067"	"0.06985685"	"1.54e-02"	"-0.623631"	"DIRC2"
"PH_hs_0048266"	"0.06985685"	"1.54e-02"	"-1.0946583"	"C1orf21"
"PH_hs_0001838"	"0.06992122"	"1.55e-02"	"-0.6060182"	"previous version conserved probe"
"PH_hs_0045878"	"0.06993277"	"1.55e-02"	"-0.6522006"	"FZD6"
"PH_hs_0044346"	"0.06994437"	"1.55e-02"	"-0.7727737"	"ACSM5"
"PH_hs_0026021"	"0.07001859"	"1.55e-02"	"0.5982594"	"MSH6"
"PH_hs_0035582"	"0.07004778"	"1.55e-02"	"0.666227"	"SUGP2"
"PH_hs_0026835"	"0.07012863"	"1.55e-02"	"-0.5955764"	"MPZL1"
"PH_hs_0014513"	"0.07017472"	"1.55e-02"	"-0.7725875"	"previous version conserved probe"
"PH_hs_0031695"	"0.0702458"	"1.55e-02"	"-0.6047878"	"CDK19"
"PH_hs_0027442"	"0.0702458"	"1.55e-02"	"0.5347775"	"ADA"
"PH_hs_0047459"	"0.07025915"	"1.56e-02"	"0.702624"	"GAB1"
"PH_hs_0046254"	"0.07032097"	"1.56e-02"	"0.7908315"	"GLYCTK"
"PH_hs_0047857"	"0.0703303"	"1.56e-02"	"-0.6704793"	"VAMP3"
"PH_hs_0060048"	"0.07034278"	"1.56e-02"	"1.0261385"	"FDPS"
"PH_hs_0031040"	"0.07038992"	"1.56e-02"	"1.073823"	"FAM167B"
"PH_hs_0047671"	"0.07042915"	"1.56e-02"	"-0.8407668"	"WWC3"
"PH_hs_0015007"	"0.07043418"	"1.56e-02"	"0.6770323"	"MMS19"
"PH_hs_0044766"	"0.07045122"	"1.56e-02"	"-0.7334789"	"SBF1"
"PH_hs_0007851"	"0.07048244"	"1.56e-02"	"0.6620201"	"DAGLB"
"PH_hs_0045762"	"0.07048244"	"1.56e-02"	"-0.6991988"	"ITIH4"
"PH_hs_0024471"	"0.07051939"	"1.56e-02"	"0.6226137"	"NEO1"
"PH_hs_0046973"	"0.07053094"	"1.56e-02"	"0.9553359"	""
"PH_hs_0043907"	"0.07056001"	"1.56e-02"	"0.597756"	"RNF212"
"PH_hs_0033440"	"0.07056001"	"1.56e-02"	"0.597157"	"TBL1XR1"
"PH_hs_0039988"	"0.07056546"	"1.57e-02"	"0.6869092"	"TRA2B"
"PH_hs_0020002"	"0.07056546"	"1.57e-02"	"-0.5466771"	"PRG4"
"PH_hs_0041039"	"0.07056763"	"1.57e-02"	"0.5829831"	"QTRTD1"
"PH_hs_0004452"	"0.07056763"	"1.57e-02"	"-0.569696"	"RHOA"
"PH_hs_0000880"	"0.07063342"	"1.57e-02"	"0.7054689"	"STAG2"
"PH_hs_0011689"	"0.07063342"	"1.57e-02"	"-0.5154741"	"PPARGC1A"
"PH_hs_0002550"	"0.07063342"	"1.57e-02"	"-0.5540049"	"GOLPH3L"
"PH_hs_0028794"	"0.07063342"	"1.57e-02"	"-0.7727798"	"CSMD3"
"PH_hs_0026029"	"0.07063342"	"1.57e-02"	"1.1350875"	"L1CAM"
"PH_hs_0016490"	"0.07063342"	"1.57e-02"	"0.6315892"	"FAM104A"
"PH_hs_0043903"	"0.07066719"	"1.57e-02"	"0.5307709"	"TMEM80"
"PH_hs_0024849"	"0.07066719"	"1.57e-02"	"-0.5927563"	"SMAP1"
"PH_hs_0032932"	"0.07072152"	"1.57e-02"	"-0.8673807"	"SH2D4B"
"PH_hs_0008937"	"0.07088765"	"1.58e-02"	"-0.9350316"	"previous version conserved probe"
"PH_hs_0043976"	"0.0708903"	"1.58e-02"	"-0.6334022"	"CNEP1R1"
"PH_hs_0016960"	"0.07091732"	"1.58e-02"	"-0.5413087"	"SGK494"
"PH_hs_0001694"	"0.07091839"	"1.58e-02"	"-0.544423"	"NDUFB5"
"PH_hs_0023280"	"0.07095515"	"1.58e-02"	"0.7642242"	"ADAM22"
"PH_hs_0043885"	"0.07097774"	"1.58e-02"	"0.6037912"	"MTX1"
"PH_hs_0062451"	"0.07098126"	"1.58e-02"	"0.4920368"	"MRPS18C"
"PH_hs_0000830"	"0.07101286"	"1.58e-02"	"0.6876271"	"DNAJB12"
"PH_hs_0062156"	"0.07101517"	"1.58e-02"	"1.1222845"	"SRSF10|LOC100996657"
"PH_hs_0028851"	"0.07101517"	"1.58e-02"	"-0.6540561"	"ZEB2"
"PH_hs_0043073"	"0.07105789"	"1.58e-02"	"0.6976275"	"ARMC9"
"PH_hs_0047444"	"0.07106651"	"1.58e-02"	"-0.5287286"	"MTPAP"
"PH_hs_0004209"	"0.07107835"	"1.58e-02"	"0.5470729"	"ANKRD2"
"PH_hs_0028419"	"0.07112957"	"1.58e-02"	"-0.8350447"	"previous version conserved probe"
"PH_hs_0029719"	"0.07112957"	"1.58e-02"	"-0.5130953"	"ZNF430"
"PH_hs_0043137"	"0.07114507"	"1.58e-02"	"-0.6254165"	"FAM69A"
"PH_hs_0034373"	"0.07119669"	"1.59e-02"	"-0.5364051"	"CCDC144NL"
"PH_hs_0062088"	"0.07120142"	"1.59e-02"	"0.572442"	"CT45A2|CT45A1|CT45A3|CT45A5|LOC101060211|LOC101060210|LOC101060208|CT45A4|CT45A6"
"PH_hs_0045023"	"0.07120514"	"1.59e-02"	"0.5744689"	"ST7L"
"PH_hs_0049140"	"0.0712477"	"1.59e-02"	"-0.6860816"	"CGGBP1"
"PH_hs_0032978"	"0.07124994"	"1.59e-02"	"0.6419579"	"KLF4"
"PH_hs_0060546"	"0.07124994"	"1.59e-02"	"0.6963369"	"ZNF704"
"PH_hs_0014924"	"0.07125816"	"1.59e-02"	"-0.5167111"	"RPF1"
"PH_hs_0048966"	"0.07128068"	"1.59e-02"	"-0.7201986"	"TET2"
"PH_hs_0020918"	"0.0713615"	"1.59e-02"	"-0.6639877"	"KCNRG"
"PH_hs_0027198"	"0.0713615"	"1.59e-02"	"-0.5853339"	"CA6"
"PH_hs_0048944"	"0.07141947"	"1.59e-02"	"1.0360939"	"DNAJC15"
"PH_hs_0023638"	"0.07151703"	"1.60e-02"	"-0.741094"	"DFNA5"
"PH_hs_0048503"	"0.07151703"	"1.60e-02"	"-0.5023159"	"UBE2K"
"PH_hs_0001920"	"0.07163648"	"1.60e-02"	"0.6360871"	"TM4SF18"
"PH_hs_0060941"	"0.07166096"	"1.60e-02"	"-0.6322981"	""
"PH_hs_0025839"	"0.07166096"	"1.60e-02"	"-2.0285496"	"DNAH17"
"PH_hs_0005965"	"0.07166096"	"1.60e-02"	"-0.5954148"	"CLDND1"
"PH_hs_0062178"	"0.07168137"	"1.60e-02"	"0.5772259"	"MRPS24|URGCP-MRPS24"
"PH_hs_0004421"	"0.07168137"	"1.60e-02"	"-0.7259618"	"PPP1R15A"
"PH_hs_0044784"	"0.07168137"	"1.60e-02"	"-0.6929252"	"ZNF69"
"PH_hs_0025187"	"0.07180319"	"1.60e-02"	"-0.5916605"	"ZNF264"
"PH_hs_0002874"	"0.07184549"	"1.60e-02"	"-0.7848614"	"ZFP14"
"PH_hs_0003278"	"0.07192206"	"1.61e-02"	"-0.5854599"	"CRYBA1"
"PH_hs_0012780"	"0.07194462"	"1.61e-02"	"0.8878184"	"TFPT"
"PH_hs_0000028"	"0.07194462"	"1.61e-02"	"0.5475447"	"TSPO"
"PH_hs_0043170"	"0.11114641"	"2.95e-02"	"-1.4286678"	"CRB1"
"PH_hs_0027652"	"0.07195448"	"1.61e-02"	"0.8106317"	"ANAPC7"
"PH_hs_0027940"	"0.0719934"	"1.61e-02"	"-0.6002134"	"XG"
"PH_hs_0003806"	"0.0719934"	"1.61e-02"	"0.6081701"	"ANKRD27"
"PH_hs_0025901"	"0.07200212"	"1.61e-02"	"-0.5469382"	"SRSF11"
"PH_hs_0031143"	"0.07202154"	"1.61e-02"	"-0.9762155"	"VIMP"
"PH_hs_0033211"	"0.07202405"	"1.61e-02"	"-0.8114466"	"PABPC1L"
"PH_hs_0061833"	"0.07203471"	"1.61e-02"	"-0.7377871"	"PLXNC1"
"PH_hs_0046387"	"0.07205246"	"1.61e-02"	"0.6455809"	"ZNF324B"
"PH_hs_0001761"	"0.07208743"	"1.61e-02"	"0.8612351"	"TTC31"
"PH_hs_0031759"	"0.07208743"	"1.61e-02"	"-0.6455413"	""
"PH_hs_0038989"	"0.07208743"	"1.61e-02"	"0.9395535"	"ABHD2"
"PH_hs_0061636"	"0.07213972"	"1.61e-02"	"0.7296994"	""
"PH_hs_0000965"	"0.08187132"	"1.91e-02"	"0.8755441"	"C9orf156"
"PH_hs_0028745"	"0.07217069"	"1.62e-02"	"-0.6213175"	"C9orf69"
"PH_hs_0002417"	"0.07222071"	"1.62e-02"	"0.6899253"	"TSPAN33"
"PH_hs_0004587"	"0.07222071"	"1.62e-02"	"0.9165485"	"previous version conserved probe"
"PH_hs_0020098"	"0.07222071"	"1.62e-02"	"0.7752342"	"TMEM208"
"PH_hs_0012265"	"0.07224335"	"1.62e-02"	"0.5046285"	"GRK5"
"PH_hs_0045017"	"0.07224933"	"1.62e-02"	"0.6515231"	"MTCP1"
"PH_hs_0022224"	"0.07224933"	"1.62e-02"	"0.743141"	"HNRNPA0"
"PH_hs_0030941"	"0.07232029"	"1.62e-02"	"-0.9667148"	"BLOC1S6"
"PH_hs_0046168"	"0.07239668"	"1.62e-02"	"-0.7568776"	"previous version conserved probe"
"PH_hs_0025163"	"0.07241798"	"1.62e-02"	"0.7545644"	"NUCB2"
"PH_hs_0034216"	"0.07245682"	"1.62e-02"	"-0.709462"	"PSMB11"
"PH_hs_0029014"	"0.07245682"	"1.62e-02"	"0.6774528"	"PSMB3"
"PH_hs_0022283"	"0.07245682"	"1.62e-02"	"0.5547898"	"GPD2"
"PH_hs_0030852"	"0.07258285"	"1.63e-02"	"-0.7420865"	"TCF15"
"PH_hs_0061506"	"0.07265104"	"1.63e-02"	"1.030138"	"FIGNL1"
"PH_hs_0032403"	"0.07266771"	"1.63e-02"	"0.5856153"	"UTP14A"
"PH_hs_0017133"	"0.07267286"	"1.63e-02"	"-0.5676354"	"CLIC6"
"PH_hs_0016439"	"0.07267946"	"1.63e-02"	"0.5550329"	"GNS"
"PH_hs_0046518"	"0.07267946"	"1.63e-02"	"-0.5122199"	"ZNF702P"
"PH_hs_0000297"	"0.07270053"	"1.63e-02"	"-0.5598478"	"SCGB1A1"
"PH_hs_0044522"	"0.07270053"	"1.63e-02"	"-0.7072569"	"TANK"
"PH_hs_0025734"	"0.07270053"	"1.63e-02"	"-0.8837054"	"FRMD6"
"PH_hs_0045945"	"0.07270739"	"1.63e-02"	"0.5347967"	"previous version conserved probe"
"PH_hs_0038692"	"0.07273864"	"1.63e-02"	"-0.674641"	"previous version conserved probe"
"PH_hs_0015720"	"0.07277793"	"1.63e-02"	"0.8348988"	"EP400"
"PH_hs_0048178"	"0.07277793"	"1.64e-02"	"-0.7348072"	"TBRG1"
"PH_hs_0013158"	"0.07281766"	"1.64e-02"	"0.7380271"	"HIST1H1E"
"PH_hs_0002640"	"0.07283705"	"1.64e-02"	"0.5984582"	"EFNB2"
"PH_hs_0028923"	"0.07284894"	"1.64e-02"	"0.648836"	"GTF2F2"
"PH_hs_0031671"	"0.07292598"	"1.64e-02"	"-0.7108664"	"DNAH12"
"PH_hs_0032889"	"0.07294071"	"1.64e-02"	"-0.7017311"	"ZNF615"
"PH_hs_0023834"	"0.09299592"	"2.29e-02"	"-0.8446965"	"MARCH2"
"PH_hs_0018548"	"0.07295324"	"1.64e-02"	"-0.8563757"	"KAL1"
"PH_hs_0024297"	"0.07296406"	"1.64e-02"	"-0.5795933"	"SYMPK"
"PH_hs_0062306"	"0.07299168"	"1.64e-02"	"-0.6580861"	"RWDD3|TMEM56-RWDD3"
"PH_hs_0034252"	"0.07303737"	"1.64e-02"	"0.6436985"	"GBA"
"PH_hs_0032216"	"0.07310012"	"1.64e-02"	"-0.6829637"	"HDAC4"
"PH_hs_0032458"	"0.07310182"	"1.64e-02"	"0.7373774"	"VCX|VCX2|VCX3B|VCX3A|VCY1B|VCY"
"PH_hs_0045976"	"0.073204"	"1.65e-02"	"0.5792201"	"SEPT6"
"PH_hs_0045949"	"0.07322062"	"1.65e-02"	"-0.7758412"	"STARD3"
"PH_hs_0027041"	"0.07328221"	"1.65e-02"	"0.5275442"	"MMP7"
"PH_hs_0061829"	"0.07335378"	"1.65e-02"	"-0.5489145"	""
"PH_hs_0027826"	"0.07336342"	"1.65e-02"	"0.580249"	"EGLN1"
"PH_hs_0031788"	"0.07336342"	"1.65e-02"	"0.6813464"	"FAM102B"
"PH_hs_0040288"	"0.07336342"	"1.65e-02"	"0.8134846"	"ALDOC"
"PH_hs_0043713"	"0.07336342"	"1.65e-02"	"0.8488701"	"PTGES3L-AARSD1|AARSD1"
"PH_hs_0061557"	"0.07336533"	"1.65e-02"	"-1.0451338"	"RALB"
