"ID"	"adj.P.Val"	"P.Value"	"logFC"	"Gene.symbol"
"1559042_at"	"1"	"0.014219"	"7.44e-01"	"NDUFB6"
"235709_at"	"1"	"0.014288"	"6.51e-01"	"GAS2L3"
"1569617_at"	"1"	"0.014302"	"9.86e-01"	"OSBP2"
"216101_at"	"1"	"0.014448"	"8.39e-01"	""
"240824_at"	"1"	"0.014472"	"6.50e-01"	""
"222113_s_at"	"1"	"0.014472"	"6.72e-01"	"EPS15L1"
"215392_at"	"1"	"0.01449"	"6.51e-01"	""
"238451_at"	"1"	"0.014515"	"8.09e-01"	"MPP7"
"211760_s_at"	"1"	"0.014634"	"6.46e-01"	"VAMP4"
"1552947_x_at"	"1"	"0.01467"	"9.12e-01"	"ZNF114"
"225818_s_at"	"1"	"0.014866"	"8.82e-01"	"TBRG1"
"242712_x_at"	"1"	"0.014869"	"6.51e-01"	"RGPD2///RGPD6///RGPD8///RGPD3///RGPD1///RGPD4///RGPD5///RANBP2"
"227386_s_at"	"1"	"0.014975"	"7.94e-01"	"TMEM200B"
"235376_at"	"1"	"0.015149"	"7.39e-01"	""
"244290_at"	"1"	"0.015238"	"8.05e-01"	""
"1555343_at"	"1"	"0.01526"	"-6.47e-01"	"MEGF10"
"226614_s_at"	"1"	"0.015273"	"7.88e-01"	"FAM167A"
"222372_at"	"1"	"0.015295"	"6.50e-01"	"MAGI1"
"202902_s_at"	"1"	"0.015429"	"6.88e-01"	"CTSS"
"206825_at"	"1"	"0.015544"	"6.44e-01"	"OXTR"
"244425_at"	"1"	"0.015625"	"6.32e-01"	""
"239597_at"	"1"	"0.015955"	"6.35e-01"	""
"239867_at"	"1"	"0.015999"	"7.00e-01"	""
"232179_at"	"1"	"0.016063"	"6.33e-01"	"LOC158863"
"210842_at"	"1"	"0.016082"	"7.33e-01"	"NRP2"
"228487_s_at"	"1"	"0.0161"	"6.67e-01"	""
"242691_at"	"1"	"0.016152"	"6.42e-01"	""
"231747_at"	"1"	"0.016195"	"1.63"	"CYSLTR1"
"212136_at"	"1"	"0.016197"	"6.38e-01"	"ATP2B4"
"1569696_at"	"1"	"0.016236"	"-6.34e-01"	"CSMD2-AS1"
"1556277_a_at"	"1"	"0.016238"	"6.87e-01"	"PAPD4"
"241905_at"	"1"	"0.016265"	"6.58e-01"	"PIK3C2A"
"215991_s_at"	"1"	"0.016267"	"6.53e-01"	"EMC1"
"239609_s_at"	"1"	"0.016313"	"6.61e-01"	"LPCAT4"
"235315_at"	"1"	"0.016387"	"7.45e-01"	"TSC22D1"
"63825_at"	"1"	"0.016396"	"6.32e-01"	"ABHD2"
"239421_at"	"1"	"0.016433"	"6.36e-01"	"DLGAP1-AS1"
"222413_s_at"	"1"	"0.016487"	"6.47e-01"	"KMT2C"
"203276_at"	"1"	"0.016523"	"-7.73e-01"	"LMNB1"
"241569_at"	"1"	"0.016563"	"8.32e-01"	""
"231152_at"	"1"	"0.016586"	"6.47e-01"	"INO80D"
